,movieId,average_rating
0,1,3.89
1,2,3.25
2,3,3.14
3,4,2.85
4,5,3.06
5,6,3.85
6,7,3.36
7,8,3.11
8,9,2.99
9,10,3.42
10,11,3.66
11,12,2.62
12,13,3.33
13,14,3.42
14,15,2.72
15,16,3.82
16,17,3.95
17,18,3.38
18,19,2.64
19,20,2.87
20,21,3.57
21,22,3.32
22,23,3.15
23,24,3.19
24,25,3.68
25,26,3.61
26,27,3.4
27,28,4.03
28,29,3.94
29,30,3.64
30,31,3.24
31,32,3.91
32,33,3.02
33,34,3.6
34,35,3.48
35,36,3.92
36,37,2.99
37,38,2.87
38,39,3.42
39,40,3.63
40,41,3.84
41,42,3.05
42,43,3.45
43,44,2.65
44,45,3.38
45,46,3.26
46,47,4.08
47,48,2.98
48,49,3.52
49,50,4.28
50,51,2.61
51,52,3.53
52,53,3.65
53,54,2.84
54,55,3.22
55,56,1.92
56,57,3.32
57,58,3.97
58,59,3.56
59,60,3.1
60,61,3.32
61,62,3.72
62,63,3.08
63,64,2.81
64,65,2.37
65,66,2.14
66,67,3.3
67,68,3.43
68,69,3.56
69,70,3.33
70,71,2.35
71,72,3.49
72,73,3.8
73,74,3.29
74,75,2.43
75,76,3.01
76,77,3.4
77,78,3.15
78,79,3.12
79,80,3.75
80,81,3.25
81,82,3.99
82,83,3.64
83,84,3.36
84,85,3.53
85,86,3.48
86,87,2.35
87,88,3.11
88,89,3.13
89,90,3.33
90,92,2.85
91,93,2.49
92,94,3.53
93,95,3.08
94,96,3.7
95,97,3.99
96,98,2.6
97,99,3.1
98,100,3.22
99,101,3.77
100,102,2.41
101,103,3.26
102,104,3.39
103,105,3.33
104,106,3.44
105,107,3.22
106,108,3.07
107,109,2.06
108,110,4.0
109,111,4.08
110,112,3.41
111,113,3.1
112,114,3.59
113,115,3.53
114,116,3.91
115,117,3.57
116,118,2.99
117,119,2.73
118,120,2.84
119,121,3.75
120,122,2.86
121,123,3.99
122,124,3.5
123,125,3.74
124,126,2.32
125,127,3.11
126,128,3.49
127,129,3.14
128,130,3.23
129,131,3.31
130,132,2.78
131,133,2.6
132,134,3.45
133,135,3.0
